iteration,prompt,accuracy
0,Carefully analyze the given problem and calculate the final answer step-by-step.,0.8352490421455939
0,Solve the given mathematical problem step-by-step and present your final answer.,0.8314176245210728
0,Solve the given problem step-by-step and show your calculations.,0.8160919540229885
0,"Solve each problem step-by-step, showing your calculations clearly.",0.8084291187739464
0,"Solve the given problem step-by-step, showing calculations and reasoning clearly.",0.7854406130268199
0,Solve the given problem using the provided information.,0.8544061302681992
0,Calculate the total number of items by combining individual amounts while accounting for any adjustments like returns or leftovers.,0.7854406130268199
1,"Solve the given problem step-by-step, clearly showing your calculations and explaining your reasoning. Include units where necessary and ensure your final answer matches the ground truth.",0.7931034482758621
1,"Carefully break down the problem into steps, show your calculations clearly, and provide a detailed explanation for each calculation. Ensure to state the final answer.",0.8007662835249042
1,"Carefully solve each problem step-by-step, showing clear calculations and reasoning. Ensure all steps are logically justified and neatly presented.",0.8275862068965517
1,"Carefully analyze and solve the given problem step-by-step, clearly showing all calculations and reasoning. Then, verify your solution against the provided ground truth answer.",0.896551724137931
1,"Carefully solve the given problem step-by-step, clearly showing all calculations and reasoning. Provide a final answer boxed or highlighted.",0.9310344827586207
1,"Carefully read the problem, identify key information, and solve it step-by-step, showing all calculations and reasoning clearly.",0.8160919540229885
1,"Solve the given problem step-by-step, providing clear explanations and calculations. Include units where necessary and box the final answer.",0.9042145593869731
1,"Carefully analyze the given problem and show each step of your solution methodically, including all calculations, to arrive at the correct answer.",0.8314176245210728
2,"Carefully analyze the given problem, break it down into clear steps, and solve it methodically, showing all calculations and reasoning. Present your final answer in a clearly boxed or highlighted format to match the provided ground truth.",0.9157088122605364
2,"Solve the given problem step-by-step, clearly showing all calculations, providing detailed reasoning for each step, and ensuring the final answer matches the ground truth. Box or highlight the final answer for clarity.",0.9080459770114943
2,"Carefully solve the given problem step-by-step, clearly showing all calculations, providing detailed reasoning for each step, and ensuring your final answer is accurate.",0.8122605363984674
2,"Carefully analyze the problem, break it down into clear steps, show all your calculations, and explain your reasoning. Ensure your final answer is boxed or highlighted for clarity and matches the ground truth.",0.9080459770114943
2,"Carefully solve the given problem step-by-step, clearly showing all calculations, reasoning, and any assumptions made. Box your final answer and verify it matches the ground truth if provided.",0.9118773946360154
2,"Carefully analyze the given problem, identify key information, then solve it step-by-step, clearly showing all calculations and reasoning. Ensure your solution is logically justified and neatly presented, and box the final answer for clarity.",0.9233716475095786
2,"Carefully analyze the given problem, identify key pieces of information, and solve it step-by-step, showing all necessary calculations and reasoning clearly. Ensure your final answer is properly stated and matches the ground truth if provided.",0.8007662835249042
2,"Carefully solve the problem step-by-step, clearly showing all calculations and reasoning. Box the final answer and verify it matches the provided ground truth, if available.",0.9310344827586207
3,"Carefully solve the given problem step-by-step, clearly showing all calculations, explaining each step in detail, and verifying your final answer against the provided ground truth. Box or highlight the final answer for clarity.",0.9042145593869731
3,"Carefully solve the given problem step-by-step, clearly showing all calculations, providing detailed reasoning for each step, and ensuring the final answer matches the provided ground truth. Clearly box or highlight the final answer for clarity.",0.9080459770114943
